,Input,Output,Result
1540,"Menarik!; ; Meskipun kaosnya bertuliskan â??2018 Ganti Gubernur Jatengâ??, namun semangat dan antusiasme untuk mengajak foto bersama pak USER tetap ada.; ; #KamiGanjarYasin",menarik kaosnya bertuliskan a 2018 ganti gubernur jatenga semangat antusiasme mengajak foto  ganjar yasin,neutral
1541,"USER USER Bukti 'on, bukti! Jangan congor doang..""",bukti on bukti doang,negative
1542,"USER Yuhuuuu \nTemen posko yg jadian 2 pasang lhoh... Tapi yagitu... Keknya anget"" tai ayam \xf0\x9f\x98\x85 \nKalo Mb janah sih&gt; bapernya bikin males skripsian\xf0\x9f\x98\x85, pengennya ngumpul terus ma tmn"" hahaha, not always \'bout love lhoh dek bapernya, lbh ke ""kekeluargaan"" nya \xf0\x9f\x98\x82'",yuhuuuu teman posko jadian 2 pasang lo ya hangat ayam mb janah sih bawa perasaannya bikin malas skripsi inginnya berkumpul teman haha not always bout love lo dek bawa perasaannya kekeluargaan nya,positive
1543,Menurutnya semua orang bisa menjadi Budha dengan berbuat baik. Semua agama mengajarkan kebaikan dan kasih sayang kepada sesama nya.',menurutnya orang buddha berbuat agama mengajarkan kebaikan kasih sayang nya,negative
1544,"USER USER USER USER iya, lu manusia berkelakuan cebong.. mau hina tapi marah dihina..'",iya manusia berkelakuan marah dihina,negative
1545,"USER USER Media pura2 bego dan ajak2 bego orang lain, namanya pembodohan. Parah!!!'",media pura pura ajak ajak orang namanya pembodohan parah,negative
1546,"USER Saya tak bicara agama tapi ajaran SESAT yang MENYEBABKAN banyak KORBAN, OK",bicara agama ajaran sesat menyebabkan korban oke,negative
1547,USER Hny di rezim bpk JKW freport bertekuk lutut.\n#Jkw2Periode\n#2019ForJkw',jokowi frepo bertekuk lutut jokowi periode 2019 for jokowi,positive
1548,Saya Bangga Jadi Orang Islam USER to 0 times,bangga orang islam  to 0 times,negative
1549,"USER Cuma di indonesia komunis dan liberal bisa akur di ideologi seseorang ( ya diomong antek komunis, liberal, asing) sedih yo mas?'",indonesia liberal akur ideologi ya diomong liberal sedih iya mas,negative
1550,"dulu guru ngaji sering bilang ""Kalian jangan main sepak bola karena sepak bola itu olah raganya pki"" sdh dikatain antek komunis sejak kecil",guru mengaji bilang main sepak bola sepak bola olah raganya partai indonesia diejek,negative
1551,*Bravoo Presiden Jokowi !ð???* Presiden Joko Widodo (Jokowi) tercatat sudah merampungkan 30 proyek strategis nasional (PSN) yang terhitung sejak 2016-2017. Apa saja?,bravo presiden jokowi presiden joko widodo jokowi tercatat merampungkan 30 proyek strategis nasional play station network terhitung 2016 2017,positive
1552,USER kamu melihara tuyul!?',memelihara,negative
1553,"USER USER USER Saya tdk bilang musnahkan org yg mengkafirkan org lain.\nKlu bicara hukum ya..? Dgn mengatakan ""Bunuh Kafir"" (klu org itu ada) ya...itu sdh masuk intimidasi &amp; ancaman yg sdh masuk dalil hukum.'",bilang musnahkan orang mengkafirkan orang bicara hukum ya bunuh orang ya masuk intimidasi amp ancaman masuk dalil hukum,negative
1554,"RT USER: temanin ines malam ini dong bang, ines sange berat, yang mau hub ines ya +62823-9111-5459 di jamin puas #bispak #janda #meme\xe2\x80\xa6'",temani indonesia network election survey malam bang indonesia network election survey berat hubung indonesia network election survey ya 62823 9111 5459 jamin puas janda meme,positive
1555,Gue mau retweet video nya tapi sedih dan kasihan... ntar yang ada malah semakin viral dan takut akan lebih banyak org2 idiot yg ngebully mas2 si korban bully dr tmn sesama mahasiswa nya itu yg katanya dr UI. Yg ternama bgt itu. #PrayforMahasiswaUI',gue retweet video nya sedih kasihan viral takut orang orang ngebully mas mas sih korban bully teman mahasiswa nya oi ternama banget pray for mahasiswa ui,negative
1556,USER Wong edan :(',orang,negative
1557,Cantik ð???â?¤ï¸?,cantik a i,neutral
1558,Kalau nak jadi:-; Pakar Ekonomi.. Masuk JASA; Pakar Perundangan.. Masuk JASA; Pakar Percukaian.. Masuk JASA; Pakar Strategi Komunikasi.. Masuk JASA; Pakar Polisi Antarabangsa.. Masuk JASA; Pakar Psikologi.. Masuk JASA; Universiti JASA untuk semua!; Kelayak,nak pakar ekonomi masuk jasa pakar perundangan masuk jasa pakar percukaian masuk jasa pakar strategi komunikasi masuk jasa pakar polisi bangsa masuk jasa pakar psikologi masuk jasa universitas jasa kelayak,positive
1559,Presiden yang anda tuduh Rezim anti Islam sudah banyak berbuat untuk Negeri ini sudah bnyak berbuat untuk umat... URL,presiden tuduh anti islam berbuat negeri berbuat umat,negative
1560,Aku engga ngerti komunis. Aku ngertinya komanis.',mengerti mengertinya manis,negative
1561,USER USER USER USER Kok baju item disalahin? Bisa jadi itu 2 korban yg nyuruh dia buat dorong atau malah Orang2 tua di situ yg suruh dorong. Ga perlu dikatain bangsad juga bocah yg dorong karena blm tentu murni kesalahan dia.',baju hitam disalahkan 2 korban menyuruh dorong orang orang tua situ suruh dorong diejek bocah dorong murni kesalahan,negative
1562,"Ahok di tuduh menista agama cuma SATU AYAT di dalam Kitab suci (Al Quran); ; USER menista Al-Quran yg terdiri 114 surat, 30 juz dan 6236 ayat.; ; Kalau menghina satu ayat kena hukuman 2 tahun penjara, tinggal mengalikan aja brp tahun hukuman yg pan",ahok tuduh menista agama ayat kitab suci al alquran  menista al alquran 114 surat 30 juz 6236 ayat menghina ayat kena hukuman 2 penjara tinggal mengalikan hukuman,negative
1563,Org yahudi hina rasullah rasullah tak marah rasullah tak doa suruh dia mati rasullah berhatap agar dia kembali pada islam',orang yahudi rasulullah rasulullah marah rasulullah doa suruh mati rasulullah berharap islam,negative
1564,USER u yg bego',,negative
1565,USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER,,negative
1566,Saatnya usir penjajah Cina dr Bumi Indonesia!! USER USER USER USER USER USER USER USER,usir penjajah cina bumi indonesia,negative
1567,USER VERIF CPT LW SIPIT',verifikasi cepat,negative
1568,Kurang berusaha kaya gimna coba gw.... Ada yg ky gw ngorbanin wktu buat pergi lebih pagi pulang lebih malem....sinting loe \xf0\x9f\x98\xa0\xf0\x9f\x98\xa0\xf0\x9f\x98\xa0\xf0\x9f\x98\xa0',berusaha kayak coba gue ky gue mengorbankan pergi pagi pulang malam,negative
1569,USER Vcs yuk tante kontol gede nih',video call sex yuk tante gede nih,neutral
1570,"USER USER \nUSER \nUSER \nTulisanya sll menyudutkan pemerintah dan di ada2 kan , issue tka Cina Sdh ga ditulis lg semenjak dibuktikan USER berkunjung ke polewali..kalo Blom waaah tiap hari itu2 aja Yg ditulis ..'",tulisanya menyudutkan pemerintah isu tenaga kerja cina ditulis semenjak dibuktikan  berkunjung polewali waaah ditulis,negative
1571,"USER USER Yaa elaj cebong gak kreatif bgt..ikut2 bahasa di pake,Cebong anak kodok nabi lu kan Si kodok makanya lu di panggil cebong laknat ??; #2019gantipresiden; #2019presidenbaru; #AsalbukanJokowi",ya alah kreatif banget bahasa pakai anak kodok nabi sih kodok panggil laknat 2019 ganti presiden 2019 presiden jokowi,negative
1572,USER USER USER Masih ada j nih cebong bangsad. Cepet modar luh bong cuma jadi hama j luh bangsad',j nih cepat hama j,negative
1573,HOAX....saling ancam KPK &amp; DPR..tangkap menangkap kalian ORANG DPR gak malu malunya ya ! saling ancam BUBARKAN DPR itu lebih baik?,hoaks ancam komisi pemberantasan korupsi amp dewan perwakilan rakyat tangkap menangkap orang dewan perwakilan rakyat malu malunya ya ancam bubarkan dewan perwakilan rakyat,negative
1574,"""..."" Warga Baduy setelah selesai memperingati tradisi Seba di Pendopo Pemkab Lebak akan dilanjutkan kembali bertemu dengan Gubernur Banten Wahidin Halim hari ini, Sabtu (21/4) #SebaBaduy2018",warga badui selesai memperingati tradisi seba pendopo pemerintah kabupaten lebak dilanjutkan bertemu gubernur banten wahidin halim sabtu 21 4 seba baduy 2018,neutral
1575,USER USER USER USER USER USER USER USER USER USER USER Bilangin wendy unnie suru jemput vider sebelum dia dijual mucikari',bilang wendy kakak perempuan suruh jemput vider dijual,negative
1576,Ok tdk apaalahh lepasni diam2 jd baik biar diri sndiri yg sakit hati pendam smpai mampus!! Okbaii',oke apalah lepas nih diam diam biar sakit hati pendam ok bye,negative
1577,USER Aq yakin km tak kan jd kepala daerah.krn km tak kampanye untuk drmu sendr.Apa hub nya dgn presiden?...',km kepala daerah km kampanye dirimu hubung nya presiden,negative
1578,"jadi, di #fwg2018 akan ada banyak sekali pertunjukan seni budaya yang banyak sekali, dan akan ada artis yang mendatangi event ini ##fwg2018",festival gunung 2018 pertunjukan seni budaya artis event festival gunung 2018,neutral
1579,RT USER USER Mungkinkah Sandi dan Anies nyusul sahabat-sahabatnya yg jadi buron dan yg sdh ditangkap itu sebelum dilantik ?,sandi anies menyusul sahabat sahabatnya buron ditangkap dilantik,negative
1580,"Td meeting sm org asing yg pekerja lapangan\n\nPercayalah.. Org lapangan itu lebih kece, asik, dan cool drpd org kantoran, org kantoran rata2 nerd dan suka belajar \xf0\x9f\x98\x85'",meeting orang pekerja lapangan percayalah orang lapangan kece asyik keren orang kantoran orang kantoran kutu buku suka belajar,positive
1581,USER Aku kafir sm a-',a,negative
1582,"USER Waduh, adminnya ga ada dukungan teknis dr ahli ekonomi partai ya. Akun resmi partai harus dimanfaatkan utk komunikasikan pesan yg berarti dan mendidik, paling tidak utk anggota dan simpatisannya.",adminnya dukungan teknis ahli ekonomi partai ya akun resmi partai dimanfaatkan komunikasikan pesan mendidik anggota simpatisannya,neutral
1583,Saya suka video USER,suka video,negative
1584,USER USER USER Pekerja asing',pekerja,negative
1585,Gue gamau nyindir tapi jadi kesannya jadi nyindir hadeeehhh bego wkwk',gue menyindir kesannya menyindir aduh wkwk,negative
1586,USER Aku pengen jilat memek',jilat,negative
1587,Presiden Tegaskan Pentingnya Publikasi untuk Asian Games 2018 USER.newsIDN #asiangames2018 #jokowi #indonesia,presiden tegaskan publikasi asian games 2018  newsidn asian games 2018 jokowi indonesia,neutral
1588,&gt;:V eek... conqueror kapan bgst &gt;:V bantu gw lah Karma Dendi Delio \xf0\x9f\x98\xad\xf0\x9f\x98\xadi need best jungler',v conqueror v bantu gue karma dendi delio need best jungler,negative
1589,"USER USER USER USER USER USER Ooo baru tau sy... berarti ada kristen nusantara, konghucu nusantara, buddha nusantara ya mas? Hindu nusantara jg ada ya? Hindu bali sih yg sering sy dengar... Islam bali ada ga? I",ooo tau kristen nusantara konghucu nusantara buddha nusantara ya mas hindu nusantara ya hindu bali sih dengar islam bali i,negative
1590,Ayo dukung tes baca Al Qur'an antar Capres 2019 yang beragama Islam yaitu Pak USER dan Pak USER . Kalau ga bisa baca Al Qur'an sebaiknya jangan jadi Capres. RT jika kamu setuju,ayo dukung tes baca al qur an calon presiden 2019 beragama islam   baca al qur an calon presiden  setuju,negative
1591,apa anaknya si napi cina kafir ini yg perlu di usir,anaknya sih napi cina usir,negative
1592,USER USER mafia wasit mah milanisti aseng... Juventini senior mah banyak... ada kok seangkatan gue',mafia wasit milanisti juventini senior seangkatan gue,negative
1593,"Saya percaya dan mendukung apa yang disampaikan bung USER karena beliau aktivis tulen bukan abal-abal. Sebelum berkiprah di Partai USER beliau dikenal konsisten berjuang untuk kepentingan ""wong cilik"" dan pernah dipenjarakan. #JAMANnyaHuta",percaya mendukung  beliau aktivis tulen abal abal berkiprah partai  beliau dikenal konsisten berjuang kepentingan orang cilik dipenjarakan zamannya huta,negative
1594,USER USER Ini salah satu bangsat pengecut di Indonesia..\nYang didukung bangsat pengecut bani onta dan groupnya yang kabur ke arab sono.\nIngat...Tuhan tidak tidur ...semua yang berbuat spt itu terhadap AHOK dan merasa dirinya pal,salah pengecut indonesia didukung pengecut grupnya kabur arab tuhan tidur berbuat surat pemberitahuan tahunan ahok pal,negative
1595,"USER USER Udah gak bisa nangkep kalimat dari awal, sok pinter sekolam. Pake ngata2in islam, Kasihan banget temen cebong lo yang islam, udah mah mati2an belain cebong kapir. Gak taunya agama islam di hina2 sama cebong kapir nih satu hahaha nas",menangkap kalimat sok pintar sekolam pakai ngata ngatai islam kasihan banget teman islam mati matian membela taunya agama islam nih haha nas,negative
1596,"USER hah, dasar cina. makanya perhitungan.'",ha dasar cina perhitungan,negative
1597,"Dear USER kenapa sinyal 4G d Pekanbaru hari ni sangat kacrut, lemot bagai kura2? Dah di-restart.'",dear  sinyal 4g pekanbaru nih lemot kura kura resta,negative
1598,"USER USER ya betul, seperti TGB ini bisa membantu menyadarkan para kaum bani cabul ,bani kampret yg sering mempermainkan ayat ayat suci dalam setiap demo'",ya tuan guru bajang membantu menyadarkan kaum cabul mempermainkan ayat ayat suci demo,negative
1599,"USER USER kalau saat itu NU ga bergabung dgn nasakom ,negara ini bakalan dikuasai komunis 100%\n\nmakanya mrk gagal menguasai NKRI Krn ada lawan yg terus menentang yaitu Nahdatul Ulama \n\npaham daki Dajjal?'",nu bergabung nasakom negara dikuasai 100 gagal menguasai negara kesatuan republik indonesia lawan menentang nahdlatul ulama ulama paham daki dajjal,negative
1600,"Masih segar ingatan rakyat janji pak jokowi mau beli kembali PT Indosat yg dijual Megawati, kok setelah jd Presiden malah mau jual BUMN?",segar ingatan rakyat janji jokowi beli pt indosat dijual megawati presiden jual badan usaha milik negara,neutral
1601,"USER Justru Itu sebutan yg paling terhormat, saya malah kasihan sm cebong benerannya, di samain dgn kaum dungu.'",sebutan terhormat kasihan benarannya samakan kaum,negative
1602,USER ya allah sejak kapan lu jadi babi dek??!!!! \n\ngpp ini maljum..giliran gue jaga lilin',ya allah dek malam jumat giliran gue jaga lilin,negative
1603,Lah seharusnya piye mas bagusnya?? *pencerahan ..,mas bagusnya pencerahan,negative
1604,Ayo Dukung Jokowi-Puan...,ayo dukung jokowi puan,negative
1605,Memang kena jadi Presiden mana2 parti baru boleh jadi PM ke? Ada dalam perlembagaan ke?,kena presiden party pm perlembagaan,negative
1606,"USER Gatau, taplak meja dirumah aku juga bentuk nya kaya gitu :('",tau meja rumah bentuk nya kayak,negative
1607,USER USER zonkey hanyalah seekor banci planga plongo...',seekor plonga plongo,negative
1608,hahaha idiot bilang kpd orang2 kafir terurama para nasrani pendukung2 ahok kafir jangan memasuki wilayah2 syariat islam,haha bilang orang orang nasrani pendukung pendukung ahok memasuki wilayah wilayah syariat islam,negative
1609,"Ayo umat Islam yg pinter, jgn percaya klo aksi 112 tdk ada hubungannya dgn pilkada, pihak AHY yg bayar anies yg untung \ud83d\ude01",ayo umat islam pintar percaya aksi 112 hubungannya pilihan kepala daerah agus harimurti yudhoyono bayar anies untung ud83d,positive
1610,USER Sini aku jilatin sayang memek mu',jilati sayang mu,negative
1611,USER USER USER Yg bego USER nusantara', nusantara,positive
1612,Awak Patroli 05A giat anjangsana sambang dan patroli dialogis dengan Sekurity Balandongan Residence memberikan arahan agar selalu waspada dan bisa menjaga keamanan dan ketertiban dilingkungannya masing2 terutama jelang pilkada serentak 2018,awak patroli 05a giat anjangsana sambang patroli dialogis security balandongan residen arahan waspada menjaga keamanan ketertiban dilingkungannya jelang pilihan kepala daerah serentak 2018,neutral
1613,USER ngentod yuk',yuk,neutral
1614,Aset indonesia katanya di ambil orang asing freeport di ambil amrik,aset indonesia ambil orang freepo ambil amerika,negative
1615,USER tiati mencret \xf0\x9f\x98\x91\xf0\x9f\x98\x92',hati hati mencret,negative
1616,Tidak melanggar undang-undang apapun,melanggar undang undang apapun,negative
1617,gubernur CUNIHIN... teu kaop aya nu herang :)),gubernur penggoda tau kuat nu herang,neutral
1618,USER ITU DORA SOMPRET',dora,negative
1619,"Warga Baduy setelah selesai memperingati tradisi Seba di Pendopo Pemkab Lebak akan dilanjutkan kembali bertemu dengan Gubernur Banten Wahidin Halim hari ini, Sabtu (21/4) #SebaBaduy2018; ; An",warga badui selesai memperingati tradisi seba pendopo pemerintah kabupaten lebak dilanjutkan bertemu gubernur banten wahidin halim sabtu 21 4 seba baduy 2018 an,neutral
1620,USER USER Hebat ya..bisa tampak saat bullying di CFD..bisa tdk tampak saat bendera Israel dikibarkan...bisa tampak saat bom Surabaya..bisa tdk tampak saat ada ancaman ke presiden..bisa tampak saat polisi menetapkan Tsk meski tidak dipakai,hebat ya bullying car free day bendera israel dikibarkan bom surabaya ancaman presiden polisi menetapkan tersangka dipakai,negative
1621,"Dan dukungan terhadap GNPF Ulama Akan sangat berkurang,dan kita Akan Kalah di 2019..karena Aksi tangkap Busukmawati anget2 tai Ayam..; USER USER USER ; #2019gantipresiden; #2019gantipresiden; #2019gantipresiden; #2019gantipresiden; #2",dukungan gerakan nasional pengawal fatwa ulama berkurang kalah 2019 aksi tangkap bu sukmawati hangat hangat ayam    2019 ganti presiden 2019 ganti presiden 2019 ganti presiden 2019 ganti presiden 2,negative
1622,Makin hari akrobat solidaritas dilakukan makin lucu demi mendapatkan remah-remah kekuasaan Presiden Jokowi yang menggerus janji-janji kampanyenya sendiri begitu tinggi.,akrobat solidaritas lucu remah remah kekuasaan presiden jokowi menggerus janji janji kampanyenya,negative
1623,Jika kita tak mampu memberi sumbangan kepada GAZA.. jgnlah kita menjadi penyumbang kepada yahudi..',sumbangan gaza penyumbang yahudi,negative
1624,kita hanya butuh presiden Baru Yang Tegas Ganyang PKI dan anti PKI!,butuh presiden ganyang partai indonesia anti partai indonesia,negative
1625,USER AKU JUGA BELUM MOVE ON DARI MANTANKU YG SIPIT SIPIT GEMESIN GITU IH:(',pindah on mantanku menggemaskan ih,neutral
1626,RT USER USER hahhaa USER loe dikatain buihh tapi emang pantes sihh,haha  diejek buih sih,negative
1627,RT USER: ngentot Di wc mas yuk URL,toilet mas yuk,neutral
1628,mau asset kejual kek\nharga naik kek\nyang kerja TKA kek \n\nbodo amat bagi mereka\nkarna gaji perbulan mereka terimanya tetap SAMA',aset terjual kayak harga kayak kerja tenaga kerja kayak gaji perbulan terimanya,negative
1629,"RT USER: Nambah lagi nih..mega collection yg minat,monggo d DM URL",menambah nih mega collection minat monggo direct message,neutral
1630,Polling Google direncanakan 28 Maret - 20 April 2018; ; Mendadak dihentikan pada 3 April 2018 karena responden yg menolak Jokowi 2 Periode mencapai 91% !; ; Penutupan resmi Polling Google akhirnya ditetapkan 2 April dgn posisi:; ; Menolak Jokowi 87% ; Setu,polling google direncanakan 28 maret 20 april 2018 mendadak dihentikan 3 april 2018 responden menolak jokowi 2 periode mencapai 91 penutupan resmi polling google ditetapkan 2 april posisi menolak jokowi 87 setu,positive
1631,"Kalau BANGSAT menjadi wakil rakyat, yg keluar dari mulutnya ya BANGSAT.\nKalau MONYET menjadi wakil rakyat, yang keluar dari mulutnya ya MONYET.\nKalau BABI menjadi wakil rakyat, yg keluar dari mulutnya ya BABI.\nKalau ANJING menjadi wakil rakyat, yg keluar dari mulutnya ya ANJ",wakil rakyat mulutnya ya wakil rakyat mulutnya ya wakil rakyat mulutnya ya wakil rakyat mulutnya ya,negative
1632,Ngaca luh bolot URL,mengaca bolot,negative
1633,"USER USER Knp ga aneh ada ustadz belajar dr non-muslim/atheist, belajarnya di Eropa/Amerika/Australia?\n\nEmg ga aneh liat pastor belajar katolik di India dr seorang biksu?'",aneh ustaz belajar non muslim belajarnya eropa amerika australia aneh lihat pastor belajar katolik india biksu,negative
1634,Jokowi menguasai Jawa Barat...,jokowi menguasai jawa barat,negative
1635,"USER USER Itulah akibat makan gaji dr duit korupsi BLBI yg dilakukan oleh toke2 Cina, otak Cebong benar2 dungu. \nMasalah TKA Cina bukan lagi fiksi tp sdh fakta, tp kalian anggap isu tsb fiktif, hancur negara ini kalian jual'",akibat makan gaji duit korupsi bantuan likuiditas bank indonesia tokek tokek cina otak tenaga kerja cina fiksi fakta anggap isu fiktif hancur negara jual,negative
1636,Banyak modus yg di gunakan sindikat Cina untuk menipu uang rakyat Indonesia.. usir cina dari Indonesia,modus sindikat cina menipu uang rakyat indonesia usir cina indonesia,negative
1637,USER Kampret telat deh gua',telat deh gue,negative
1638,"Agar kelak dapat mengungkap dengan jujur, siapa sebenarnya Muhammad dan siapa yg bicara di Quran, betul Pak Lukman?",kelak mengungkap jujur muhammad bicara alquran lukman,negative
1639,Anda hrs hapus sendiri setelah tahu Islam ajaran sesat yg mendungukan & membiadabkan umatnya,hapus islam ajaran sesat mendungukan membiadabkan umatnya,negative
1640,"USER USER Ustad dulu mondok di mana sih? Kok kerjaanya ngetweet, bikin status nyinyir terus. Tweeter punya kafir lo Stad.'",ustad mondok sih kerjaannya mentwit bikin status nyinyir twitter stad,negative
1641,USER Ngentod yuk',yuk,neutral
1642,WADUH AKSI DUKUNG/PILIH PRESIDEN KOK SUARANYA SENADA *PRIBUMI/RAKYAT INDONESIA PERLU DIBERI TAHU: ITU SEMUA KARENA ADA BUZZER'2 BAYARAN CINA,aksi dukung pilih presiden suaranya senada pribumi rakyat indonesia buzzer 2 bayaran cina,negative
1643,Kebanyakan fitnah nih mpok silvy DebatFinalPilkadaJKT Gue2,kebanyakan fitnah nih empok silvy debat final pemilihan kepala daerah jakarta gue gue,negative
1644,Edan pisan',banget,negative
1645,USER USER USER tai dibls juga pake acc lain\xf0\x9f\x98\x82. jd enak dipanggil hyung',dibalas pakai acc enak dipanggil hyung,negative
1646,"Lihat noh tampang lu, tampang banci, LGBT! URL",lihat tampang tampang,negative
1647,"USER USER Coba kalian perhatikan dipersidangan teroris ada nggak alqur'an menjadi BB nggak pernah ada selama ini dasar zonk sontoloyo""",coba perhatikan dipersidangan teroris alquran an bb dasar apes,negative
1648,"USER USER USER Kasusnya SP3, BONG.. Gak terbukti..\n\nCuma Halu para cecungung kodok, alias cebong aja itu..'",kasusnya surat perintah penghentian penyidikan terbukti halu cecunguk kodok alias,negative
1649,USER Astagfirlloh...semakin parah Rezim kini',astagfirullah parah,negative
1650,RT USER: Sebar Hoax Pembangunan Era Jokowi,sebar hoaks pembangunan era jokowi,positive
1651,USER USER biasa mereka itulah para antek antek zionis dan komunis,zionis,negative
1652,"Penyesatan ini harus diluruskan, Allah SWT tidak ngajar bangun keluarga, tapi cocok2 penis",penyesatan diluruskan allah subhanahu wa taala mengajar bangun keluarga cocok cocok penis,negative
1653,USER Beda bingit dg rezim dzalim skarang..swasembada cuman angin surga malah justru semangat sejahterakn petani vietnam dan thailand!',beda banget zalim swasembada angin surga semangat sejahterakan petani vietnam thailand,positive
1654,SUASANA STQ TINGKAT KABUPATEN NGADA . NTT . CUKUP DALAM MASDJID TANPA MIMBAR TANPA DANA . SWASEMBADA DARI UMAT ISLAM UNTUK BAWA NAMA PEMDA DALAM MTQ KE TINGKAT PROPINSI . NTT. MENYEDIHKAN .; #2019GantiPresiden,suasana stq tingkat kabupaten ntt masjid mimbar dana swasembada umat islam bawa nama pemerintah daerah musabaqah tilawatil quran tingkat propinsi ntt menyedihkan 2019 ganti presiden,negative
1655,USER Mainnya di jamban \xf0\x9f\x98\x82',mainnya,negative
1656,"Sengaja itumah, tapi rakyat ga bodoh, smoga sgera ganti presiden amin",sengaja mah rakyat semoga ganti presiden amin,negative
1657,USER USER USER Ga mikir keluarga korban bom ukhti2 otaknya di dengkul.. kok KZL ya?',pikir keluarga korban bom saudari saudari otaknya dengkul kesal ya,negative
1658,"USER Maklum gua korea ori, jadi sipit'",maklum gue korea orisinal,negative
1659,USER Jgn lupa.. Prabowo ajak amien rais dan semua masa fpi.. Jgn pulang kl belum menang ya,lupa prabowo ajak amien rais front pembela islam pulang menang ya,neutral
1660,USER apaan? mau nete?',,negative
1661,"USER USER USER USER USER Bebas. Terserah. Dlm memahami konteks agama (Islam khususnya).; Namun bagi saya, kematian adalah realitas. Kebangkitan, hisab, surga atau neraka adalah KEYAKINAN mutlak. ð???; Semua hal itu terse",bebas terserah memahami konteks agama islam kematian realitas kebangkitan hisab surga neraka keyakinan mutlak terse,negative
1662,lagi jadi pendengar dialog yahudi dan israel versi katanya katanya \xf0\x9f\x98\xb3\xf0\x9f\x98\xb3',pendengar dialog yahudi israel versi,neutral
1663,"USER USER Buat awal2 supaya gak nervous kalo foto sama ariel, foto sama saya aja dulu... \xf0\x9f\x98\x82 \xf0\x9f\x98\x82'",grogi foto ariel foto,neutral
1664,"USER Udah jelas kita bukan mereka, dan nggak akan pernah jadi seperti mereka.\nTapi dalam hal ini kita hanya mengcounter tindakan brutal dari anjing2 FPI itu.\nAku sangat yakin jika ada perlawanan dari masyarakat, mereka akan kuncup seperti bu",mengonter tindakan brutal front pembela islam perlawanan masyarakat kuncup bu,negative
1665,"#informasiunik #ntb &gt; Enam bahasa resmi PBB adalah: Inggris, Perancis, Arab, Cina, Rusia dan Spanyol.'",informasi unik ntb enam bahasa resmi pbb inggris prancis arab cina rusia spanyol,neutral
1666,"USER USER USER USER USER USER USER USER USER USER USER USER Warisan presiden periode sebelumnya. 10 th hasilnya cm bbrp album lagu, kader2nya korupsi berjamaah. Tp skrg lagaknya sera",warisan presiden periode 10 hasilnya album lagu kader kadernya korupsi berjemaah lagaknya sera,neutral
1667,"Warisan, tradisi dan budaya mana?",warisan tradisi budaya,negative
1668,"Semua pemaen ke Liga Inggris, sedangkan gak ada regulasi pembatasan pemaen aseng. Haduh.'",pemain liga inggris regulasi pembatasan pemain aduh,negative
1669,USER Usir cina dari nkri USER USER USER USER USER,usir cina negara kesatuan republik indonesia,negative
1670,USER USER USER USER Cebong otaknya lagi ngeblend......',otaknya mencampur,negative
1671,USER Dulu pernah ada review penelitian2 yg katanya membuktikan MSG in chinese food = bikin sindroma restoran cina.\n\nWaktu hasil2nya diteliti ada 1 zat yg umum ditemukan dlm makanan2 itu tp saat itu tidak ditunjuk sbg penyebab gejala2 ga enak.,review penelitian penelitian membuktikan in cina food bikin sindrom restoran cina hasil hasilnya diteliti 1 zat ditemukan makanan makanan penyebab gejala gejala enak,negative
1672,USER USER Makanya planga plongo.wong kepalanya gak ada alias otaknya dungu.',plonga plongo orang kepalanya alias otaknya,negative
1673,Semut Kaiju Nakal\nSaya mau tanya\nApakah kamu di dalam tanah tidak kegelapan?\nSemut Kaiju Nakal\nSaya mau tanya\nApakah kamu di dalam tanah tidak takut setan?',semut kaiju nakal tanah kegelapan semut kaiju nakal tanah takut,negative
1674,USER USER USER USER Top nya lg bs yg biasa bela penista agama skrg belagak bela agama; Wkwkkwkwkw; Mabok,top nya bela penista agama belaga bela agama wkwk mabuk,negative
1675,"USER USER Muka lu cabul, kalo punya muka sih, tapi banci mah beraninya anonim...'",muka cabul muka sih beraninya anonim,negative
1676,"USER Nete yang mana dulu ini, Kak? \xf0\x9f\x8c\x9a\n\nUntung dn-nya bener kalau engga udah Nate tabok :') //""",kak untung nya ate tabok,negative
1677,Jokowi juga Cinta Papua. #JokowiSayangiPapua,jokowi cinta papua jokowi sayangi papua,positive
1678,USER Adminnya tolol',adminnya,negative
1679,RT USER USER Istimewanya orang ini dimata Jokowi. Tp publik tdk akan tertipu oleh penyamarannya. dukung perppu ormas,istimewanya orang dimata jokowi publik tertipu penyamarannya dukung peraturan pemerintah pengganti undang undang organisasi masyarakat,negative
1680,"terus aja eror jo, kampang kau dri kemaren gitu terus'",eror jo kemarin,negative
1681,Akutu ndabisa kalo kamutu \n\nSssst bacot',sssst,negative
1682,USER USER USER Balas pakai pantun\n\n\xf0\x9f\x8e\xb6\nDARI BANTEN BAWA BEKAL LEWAT CENGKARENG TERBANG KE BLITAR...\n\xf0\x9f\x8e\xb6\xf0\x9f\x8e\xb6\nBELI COKLAT DIMAKAN DI BAWAH POHON SALAM...\n\xf0\x9f\x8e\xb6\xf0\x9f\x8e\xb6\xf0\,balas pakai pantun banten bawa bekal cengkareng terbang blitar beli coklat dimakan pohon salam,neutral
